SALESORDERID,CREATEDAT,CHANGEDAT,CUSTOMERID,GROSSAMOUNT,NETAMOUNT,TAXAMOUNT,LIFECYCLESTATUS,BILLINGSTATUS,DELIVERYSTATUS
500003313,2015-02-13,2015-02-13,100000008,2607,2192,415,N,I,I
500003314,2015-02-13,2015-02-13,100000008,4064,3416,648,N,I,I
500003315,2015-02-13,2015-02-13,100000040,12373,10399,1974,N,I,I
500003316,2015-02-13,2015-02-13,100000001,3259,2740,519,N,I,I
500003317,2015-02-13,2015-02-13,100000007,379,319,60,N,I,I
500003318,2015-02-13,2015-02-13,100000022,5529,4647,882,N,I,I
500003319,2015-02-13,2015-02-13,100000006,1750,1472,278,N,I,I
500003320,2015-02-13,2015-02-13,100000002,2278,1916,362,N,I,I
500003321,2015-02-13,2015-02-13,100000000,10350,8699,1651,N,I,I
500003322,2015-02-13,2015-02-13,100000026,61,52,9,N,I,I
500003323,2015-02-13,2015-02-13,100000034,92544,77769,14775,N,I,I
500003324,2015-02-13,2015-02-13,100000015,6504,5466,1038,N,I,I
500003325,2015-02-13,2015-02-13,100000006,13091,11002,2089,N,I,I
500003326,2015-02-13,2015-02-13,100000010,4231,3556,675,N,I,I
500003327,2015-02-13,2015-02-13,100000026,15465,12997,2468,N,I,I
500003328,2015-02-13,2015-02-13,100000004,564,474,90,N,I,I
500003329,2015-02-13,2015-02-13,100000001,14123,11870,2253,N,I,I
500003330,2015-02-13,2015-02-13,100000009,1488,1251,237,N,I,I
500003331,2015-02-13,2015-02-13,100000036,3689,3102,587,N,I,I
500003332,2015-02-13,2015-02-13,100000022,336,283,53,N,I,I
500003333,2015-02-14,2015-02-14,100000011,46,39,7,N,I,I
500003334,2015-02-14,2015-02-14,100000003,57,48,9,N,I,I
500003335,2015-02-14,2015-02-14,100000030,1868,1570,298,N,I,I
500003336,2015-02-14,2015-02-14,100000025,6330,5321,1009,N,I,I
500003337,2015-02-14,2015-02-14,100000025,1358,1142,216,N,I,I
500003338,2015-02-14,2015-02-14,100000001,1424,1197,227,N,I,I
500003339,2015-02-14,2015-02-14,100000031,8802,7398,1404,N,I,I
500003340,2015-02-14,2015-02-14,100000015,30025,25232,4793,N,I,I
500003341,2015-02-14,2015-02-14,100000000,2972,2498,474,N,I,I
500003342,2015-02-14,2015-02-14,100000024,4281,3599,682,N,I,I
500003343,2015-02-14,2015-02-14,100000029,574,483,91,N,I,I
500003344,2015-02-14,2015-02-14,100000010,12583,10576,2007,N,I,I
500003345,2015-02-14,2015-02-14,100000036,9263,7785,1478,N,I,I
500003346,2015-02-14,2015-02-14,100000016,1836,1544,292,N,I,I
500003347,2015-02-14,2015-02-14,100000041,92,78,14,N,I,I
500003348,2015-02-14,2015-02-14,100000020,1370,1152,218,N,I,I
500003349,2015-02-14,2015-02-14,100000039,483,407,76,N,I,I
500003350,2015-02-14,2015-02-14,100000018,3019,2538,481,N,I,I
500003351,2015-02-14,2015-02-14,100000009,22838,19192,3646,N,I,I
500003352,2015-02-14,2015-02-14,100000040,10805,9080,1725,N,I,I
500003353,2015-02-14,2015-02-14,100000018,54168,45520,8648,N,I,I
500003354,2015-02-14,2015-02-14,100000027,12597,10586,2011,N,I,I
500003355,2015-02-14,2015-02-14,100000019,2425,2040,385,N,I,I
500003356,2015-02-14,2015-02-14,100000007,1547,1301,246,N,I,I
500003357,2015-02-14,2015-02-14,100000018,471,396,75,N,I,I
500003358,2015-02-14,2015-02-14,100000001,2197,1848,349,N,I,I
500003359,2015-02-14,2015-02-14,100000012,355,299,56,N,I,I
500003360,2015-02-14,2015-02-14,100000029,11024,9265,1759,N,I,I
500003361,2015-02-14,2015-02-14,100000029,48002,40338,7664,N,I,I
500003362,2015-02-14,2015-02-14,100000028,640,539,101,N,I,I
500003363,2015-02-14,2015-02-14,100000041,4152,3490,662,N,I,I
500003364,2015-02-14,2015-02-14,100000018,2513,2113,400,N,I,I
500003365,2015-02-14,2015-02-14,100000042,11162,9380,1782,N,I,I
500003366,2015-02-14,2015-02-14,100000037,4273,3591,682,N,I,I
500003367,2015-02-14,2015-02-14,100000016,2541,2136,405,N,I,I
500003368,2015-02-14,2015-02-14,100000036,3206,2696,510,N,I,I
500003369,2015-02-14,2015-02-14,100000014,1715,1442,273,N,I,I
500003370,2015-02-14,2015-02-14,100000038,8424,7080,1344,N,I,I
500003371,2015-02-14,2015-02-14,100000037,10971,9220,1751,N,I,I
500003372,2015-02-14,2015-02-14,100000009,9282,7800,1482,N,I,I
500003373,2015-02-14,2015-02-14,100000037,6641,5582,1059,N,I,I
500003374,2015-02-14,2015-02-14,100000010,3878,3260,618,N,I,I
500003375,2015-02-14,2015-02-14,100000022,534,449,85,N,I,I
500003376,2015-02-14,2015-02-14,100000039,19068,16025,3043,N,I,I
500003377,2015-02-14,2015-02-14,100000012,866,729,137,N,I,I
500003378,2015-02-14,2015-02-14,100000021,26196,22014,4182,N,I,I
500003379,2015-02-14,2015-02-14,100000000,706,594,112,N,I,I
500003380,2015-02-14,2015-02-14,100000015,12883,10827,2056,N,I,I
500003381,2015-02-14,2015-02-14,100000011,11890,9992,1898,N,I,I
500003382,2015-02-14,2015-02-14,100000026,88,74,14,N,I,I
500003383,2015-02-14,2015-02-14,100000020,13171,11070,2101,N,I,I
500003384,2015-02-14,2015-02-14,100000025,2027,1704,323,N,I,I
500003385,2015-02-14,2015-02-14,100000010,13047,10965,2082,N,I,I
500003386,2015-02-14,2015-02-14,100000012,10816,9091,1725,N,I,I
500003387,2015-02-14,2015-02-14,100000006,883,743,140,N,I,I
500003388,2015-02-14,2015-02-14,100000038,24528,20613,3915,N,I,I
500003389,2015-02-14,2015-02-14,100000021,950,799,151,N,I,I
500003390,2015-02-14,2015-02-14,100000020,16414,13794,2620,N,I,I
500003391,2015-02-14,2015-02-14,100000029,11518,9681,1837,N,I,I
500003392,2015-02-14,2015-02-14,100000040,438,369,69,N,I,I
500003393,2015-02-14,2015-02-14,100000021,1678,1411,267,N,I,I
500003394,2015-02-14,2015-02-14,100000019,994,836,158,N,I,I
500003395,2015-02-14,2015-02-14,100000035,3457,2906,551,N,I,I
500003396,2015-02-14,2015-02-14,100000000,151680,127463,24217,N,I,I
500003397,2015-02-14,2015-02-14,100000016,17382,14608,2774,N,I,I
500003398,2015-02-14,2015-02-14,100000035,5854,4920,934,N,I,I
500003399,2015-02-14,2015-02-14,100000031,1785,1501,284,N,I,I
500003400,2015-02-14,2015-02-14,100000027,34777,29227,5550,N,I,I
500003401,2015-02-15,2015-02-15,100000003,11640,9783,1857,N,I,I
500003402,2015-02-15,2015-02-15,100000017,8573,7205,1368,N,I,I
500003403,2015-02-15,2015-02-15,100000039,5105,4290,815,N,I,I
500003404,2015-02-15,2015-02-15,100000035,530,446,84,N,I,I
500003405,2015-02-15,2015-02-15,100000012,9823,8256,1567,N,I,I
500003406,2015-02-15,2015-02-15,100000022,33443,28106,5337,N,I,I
500003407,2015-02-16,2015-02-16,100000011,10151,8532,1619,N,I,I
500003408,2015-02-16,2015-02-16,100000020,69,58,11,N,I,I
500003409,2015-02-16,2015-02-16,100000008,9772,8213,1559,N,I,I
500003410,2015-02-16,2015-02-16,100000028,117,99,18,N,I,I
500003411,2015-02-16,2015-02-16,100000028,1029,866,163,N,I,I
500003412,2015-02-16,2015-02-16,100000031,2133,1794,339,N,I,I
500003413,2015-02-16,2015-02-16,100000043,9886,8310,1576,N,I,I
500003414,2015-02-16,2015-02-16,100000026,20256,17024,3232,N,I,I
500003415,2015-02-16,2015-02-16,100000010,2391,2012,379,N,I,I
500003416,2015-02-16,2015-02-16,100000029,199,168,31,N,I,I
500003417,2015-02-16,2015-02-16,100000040,18483,15533,2950,N,I,I
500003418,2015-02-16,2015-02-16,100000018,1840,1547,293,N,I,I
500003419,2015-02-16,2015-02-16,100000010,2972,2498,474,N,I,I
500003420,2015-02-16,2015-02-16,100000043,49,42,7,N,I,I
500003421,2015-02-16,2015-02-16,100000000,151853,127609,24244,N,I,I
500003422,2015-02-16,2015-02-16,100000020,7165,6022,1143,N,I,I
500003423,2015-02-16,2015-02-16,100000040,5537,4654,883,N,I,I
500003424,2015-02-16,2015-02-16,100000030,14871,12498,2373,N,I,I
500003425,2015-02-16,2015-02-16,100000040,1744,1467,277,N,I,I
500003426,2015-02-16,2015-02-16,100000037,16862,14171,2691,N,I,I
500003427,2015-02-16,2015-02-16,100000024,8313,6986,1327,N,I,I
500003428,2015-02-16,2015-02-16,100000040,6042,5079,963,N,I,I
500003429,2015-02-16,2015-02-16,100000002,1040,875,165,N,I,I
500003430,2015-02-16,2015-02-16,100000011,430,362,68,N,I,I
500003431,2015-02-16,2015-02-16,100000020,13350,11219,2131,N,I,I
500003432,2015-02-16,2015-02-16,100000016,5482,4608,874,N,I,I
500003433,2015-02-16,2015-02-16,100000006,2297,1931,366,N,I,I
500003434,2015-02-16,2015-02-16,100000000,10087,8477,1610,N,I,I
500003435,2015-02-16,2015-02-16,100000017,142894,120079,22815,N,I,I
500003436,2015-02-16,2015-02-16,100000028,9999,8403,1596,N,I,I
500003437,2015-02-17,2015-02-17,100000029,9541,8019,1522,N,I,I
500003438,2015-02-17,2015-02-17,100000003,1624,1366,258,N,I,I
500003439,2015-02-17,2015-02-17,100000032,574,483,91,N,I,I
500003440,2015-02-17,2015-02-17,100000010,1282,1078,204,N,I,I
500003441,2015-02-17,2015-02-17,100000003,547,460,87,N,I,I
500003442,2015-02-17,2015-02-17,100000013,9501,7986,1515,N,I,I
500003443,2015-02-17,2015-02-17,100000001,13941,11716,2225,N,I,I
500003444,2015-02-17,2015-02-17,100000018,2587,2174,413,N,I,I
500003445,2015-02-17,2015-02-17,100000032,12821,10775,2046,N,I,I
500003446,2015-02-17,2015-02-17,100000008,240432,202045,38387,N,I,I
500003447,2015-02-17,2015-02-17,100000017,7533,6331,1202,N,I,I
500003448,2015-02-17,2015-02-17,100000038,14536,12216,2320,N,I,I
500003449,2015-02-17,2015-02-17,100000018,8066,6781,1285,N,I,I
500003450,2015-02-17,2015-02-17,100000009,3644,3063,581,N,I,I
500003451,2015-02-17,2015-02-17,100000010,13297,11175,2122,N,I,I
500003452,2015-02-17,2015-02-17,100000037,4953,4163,790,N,I,I
500003453,2015-02-17,2015-02-17,100000020,13301,11180,2121,N,I,I
500003454,2015-02-17,2015-02-17,100000035,17779,14942,2837,N,I,I
500003455,2015-02-17,2015-02-17,100000024,1028,865,163,N,I,I
500003456,2015-02-17,2015-02-17,100000015,53833,45238,8595,N,I,I
500003457,2015-02-17,2015-02-17,100000041,11976,10064,1912,N,I,I
500003458,2015-02-17,2015-02-17,100000041,34831,29270,5561,N,I,I
500003459,2015-02-17,2015-02-17,100000040,8379,7043,1336,N,I,I
500003460,2015-02-17,2015-02-17,100000000,3453,2903,550,N,I,I
500003461,2015-02-17,2015-02-17,100000043,2369,1991,378,N,I,I
500003462,2015-02-17,2015-02-17,100000013,10087,8477,1610,N,I,I
500003463,2015-02-17,2015-02-17,100000008,1188,999,189,N,I,I
500003464,2015-02-17,2015-02-17,100000042,1683,1416,267,N,I,I
500003465,2015-02-17,2015-02-17,100000040,396,334,62,N,I,I
500003466,2015-02-17,2015-02-17,100000007,10113,8499,1614,N,I,I
500003467,2015-02-18,2015-02-18,100000041,1028,864,164,N,I,I
500003468,2015-02-18,2015-02-18,100000027,4848,4074,774,N,I,I
500003469,2015-02-18,2015-02-18,100000010,152,128,24,N,I,I
500003470,2015-02-18,2015-02-18,100000011,208622,175314,33308,N,I,I
500003471,2015-02-18,2015-02-18,100000029,3724,3130,594,N,I,I
500003472,2015-02-18,2015-02-18,100000003,12861,10809,2052,N,I,I
500003473,2015-02-18,2015-02-18,100000028,1192,1002,190,N,I,I
500003474,2015-02-18,2015-02-18,100000030,8502,7145,1357,N,I,I
500003475,2015-02-18,2015-02-18,100000041,3401,2859,542,N,I,I
500003476,2015-02-18,2015-02-18,100000006,2471,2078,393,N,I,I
500003477,2015-02-18,2015-02-18,100000039,2142,1800,342,N,I,I
500003478,2015-02-18,2015-02-18,100000013,7998,6723,1275,N,I,I
500003479,2015-02-18,2015-02-18,100000039,83,70,13,N,I,I
500003480,2015-02-18,2015-02-18,100000043,386,325,61,N,I,I
500003481,2015-02-18,2015-02-18,100000005,13021,10943,2078,N,I,I
500003482,2015-02-18,2015-02-18,100000034,9872,8297,1575,N,I,I
500003483,2015-02-18,2015-02-18,100000014,64169,53924,10245,N,I,I
500003484,2015-02-18,2015-02-18,100000042,99,84,15,N,I,I
500003485,2015-02-18,2015-02-18,100000029,227,192,35,N,I,I
500003486,2015-02-18,2015-02-18,100000033,6502,5464,1038,N,I,I
500003487,2015-02-18,2015-02-18,100000023,10156,8536,1620,N,I,I
500003488,2015-02-18,2015-02-18,100000033,14766,12410,2356,N,I,I
500003489,2015-02-18,2015-02-18,100000013,14517,12200,2317,N,I,I
500003490,2015-02-18,2015-02-18,100000027,1990,1673,317,N,I,I
500003491,2015-02-18,2015-02-18,100000026,4581,3851,730,N,I,I
500003492,2015-02-18,2015-02-18,100000038,41650,35000,6650,N,I,I
500003493,2015-02-18,2015-02-18,100000018,123296,103611,19685,N,I,I
500003494,2015-02-18,2015-02-18,100000031,17678,14858,2820,N,I,I
500003495,2015-02-18,2015-02-18,100000024,349,294,55,N,I,I
500003496,2015-02-18,2015-02-18,100000015,952,800,152,N,I,I
500003497,2015-02-18,2015-02-18,100000027,11343,9533,1810,N,I,I
500003498,2015-02-18,2015-02-18,100000006,53797,45209,8588,N,I,I
500003499,2015-02-18,2015-02-18,100000008,5879,4941,938,N,I,I
500003500,2015-02-18,2015-02-18,100000035,4314,3626,688,N,I,I
500003501,2015-02-18,2015-02-18,100000027,13349,11219,2130,N,I,I
500003502,2015-02-18,2015-02-18,100000019,5240,4404,836,N,I,I
500003503,2015-02-18,2015-02-18,100000003,8782,7380,1402,N,I,I
500003504,2015-02-18,2015-02-18,100000022,16972,14263,2709,N,I,I
500003505,2015-02-18,2015-02-18,100000017,117,99,18,N,I,I
500003506,2015-02-18,2015-02-18,100000039,794,668,126,N,I,I
500003507,2015-02-18,2015-02-18,100000030,508,428,80,N,I,I
500003508,2015-02-18,2015-02-18,100000032,7092,5961,1131,N,I,I
500003509,2015-02-18,2015-02-18,100000024,4306,3619,687,N,I,I
500003510,2015-02-18,2015-02-18,100000032,5539,4656,883,N,I,I
500003511,2015-02-18,2015-02-18,100000023,36166,30392,5774,N,I,I
500003512,2015-02-18,2015-02-18,100000033,111,95,16,N,I,I
500003513,2015-02-18,2015-02-18,100000041,7405,6223,1182,N,I,I
500003514,2015-02-18,2015-02-18,100000012,9515,7996,1519,N,I,I
500003515,2015-02-18,2015-02-18,100000023,13613,11440,2173,N,I,I
500003516,2015-02-18,2015-02-18,100000000,9190,7724,1466,N,I,I
500003517,2015-02-18,2015-02-18,100000041,3483,2928,555,N,I,I
500003518,2015-02-18,2015-02-18,100000006,914,769,145,N,I,I
500003519,2015-02-18,2015-02-18,100000034,5707,4796,911,N,I,I
500003520,2015-02-18,2015-02-18,100000042,16,14,2,N,I,I
500003521,2015-02-18,2015-02-18,100000011,3875,3258,617,N,I,I
500003522,2015-02-18,2015-02-18,100000002,26422,22204,4218,N,I,I
500003523,2015-02-18,2015-02-18,100000002,10530,8849,1681,N,I,I
500003524,2015-02-18,2015-02-18,100000018,33,28,5,N,I,I
500003525,2015-02-18,2015-02-18,100000031,3389,2849,540,N,I,I
500003526,2015-02-18,2015-02-18,100000006,1974,1661,313,N,I,I
500003527,2015-02-18,2015-02-18,100000025,23830,20026,3804,N,I,I
500003528,2015-02-18,2015-02-18,100000030,1332,1120,212,N,I,I
500003529,2015-02-18,2015-02-18,100000032,7144,6004,1140,N,I,I
500003530,2015-02-18,2015-02-18,100000036,3019,2538,481,N,I,I
500003531,2015-02-18,2015-02-18,100000036,4280,3597,683,N,I,I
500003532,2015-02-18,2015-02-18,100000003,7858,6604,1254,N,I,I
500003533,2015-02-18,2015-02-18,100000024,3819,3211,608,N,I,I
500003534,2015-02-18,2015-02-18,100000035,6096,5123,973,N,I,I
500003535,2015-02-18,2015-02-18,100000042,12387,10410,1977,N,I,I
500003536,2015-02-18,2015-02-18,100000027,5310,4464,846,N,I,I
500003537,2015-02-18,2015-02-18,100000032,71420,60018,11402,N,I,I
500003538,2015-02-18,2015-02-18,100000008,10699,8991,1708,N,I,I
500003539,2015-02-18,2015-02-18,100000000,194,164,30,N,I,I
500003540,2015-02-18,2015-02-18,100000010,1011,850,161,N,I,I
500003541,2015-02-18,2015-02-18,100000024,125461,105431,20030,N,I,I
500003542,2015-02-18,2015-02-18,100000000,421,354,67,N,I,I
500003543,2015-02-18,2015-02-18,100000038,10115,8500,1615,N,I,I
500003544,2015-02-18,2015-02-18,100000011,3803,3196,607,N,I,I
500003545,2015-02-18,2015-02-18,100000018,424,357,67,N,I,I
500003546,2015-02-18,2015-02-18,100000005,2406,2024,382,N,I,I
500003547,2015-02-18,2015-02-18,100000008,11565,9719,1846,N,I,I
500003548,2015-02-18,2015-02-18,100000041,23401,19666,3735,N,I,I
500003549,2015-02-18,2015-02-18,100000013,8670,7287,1383,N,I,I
500003550,2015-02-18,2015-02-18,100000031,7184,6038,1146,N,I,I
500003551,2015-02-18,2015-02-18,100000025,2735,2299,436,N,I,I
500003552,2015-02-18,2015-02-18,100000035,2990,2514,476,N,I,I
500003553,2015-02-18,2015-02-18,100000035,130,110,20,N,I,I
500003554,2015-02-18,2015-02-18,100000033,289,244,45,N,I,I
500003555,2015-02-18,2015-02-18,100000033,2651,2229,422,N,I,I
500003556,2015-02-18,2015-02-18,100000021,2725,2291,434,N,I,I
500003557,2015-02-18,2015-02-18,100000009,237,200,37,N,I,I
500003558,2015-02-18,2015-02-18,100000036,5637,4738,899,N,I,I
500003559,2015-02-18,2015-02-18,100000025,1891,1590,301,N,I,I
500003560,2015-02-18,2015-02-18,100000037,18319,15396,2923,N,I,I
500003561,2015-02-18,2015-02-18,100000025,2713,2280,433,N,I,I
500003562,2015-02-18,2015-02-18,100000011,24721,20775,3946,N,I,I
500003563,2015-02-18,2015-02-18,100000030,427,360,67,N,I,I
500003564,2015-02-18,2015-02-18,100000007,3172,2666,506,N,I,I
500003565,2015-02-18,2015-02-18,100000028,11261,9464,1797,N,I,I
500003566,2015-02-18,2015-02-18,100000031,1793,1508,285,N,I,I
500003567,2015-02-18,2015-02-18,100000011,1788,1504,284,N,I,I
500003568,2015-02-18,2015-02-18,100000016,424,357,67,N,I,I
500003569,2015-02-18,2015-02-18,100000042,15156,12737,2419,N,I,I
500003570,2015-02-18,2015-02-18,100000019,5950,5000,950,N,I,I
500003571,2015-02-18,2015-02-18,100000018,39560,33245,6315,N,I,I
500003572,2015-02-18,2015-02-18,100000031,13285,11166,2119,N,I,I
500003573,2015-02-18,2015-02-18,100000012,60,51,9,N,I,I
500003574,2015-02-18,2015-02-18,100000007,1712,1439,273,N,I,I
500003575,2015-02-18,2015-02-18,100000034,11407,9587,1820,N,I,I
500003576,2015-02-18,2015-02-18,100000002,8407,7065,1342,N,I,I
500003577,2015-02-18,2015-02-18,100000000,20208,16984,3224,N,I,I
500003578,2015-02-18,2015-02-18,100000015,15614,13122,2492,N,I,I
500003579,2015-02-18,2015-02-18,100000036,37351,31388,5963,N,I,I
500003580,2015-02-18,2015-02-18,100000008,3213,2700,513,N,I,I
500003581,2015-02-18,2015-02-18,100000035,12697,10671,2026,N,I,I
500003582,2015-02-18,2015-02-18,100000037,4889,4109,780,N,I,I
500003583,2015-02-18,2015-02-18,100000037,15947,13403,2544,N,I,I
500003584,2015-02-18,2015-02-18,100000039,2713,2280,433,N,I,I
500003585,2015-02-18,2015-02-18,100000040,9509,7992,1517,N,I,I
500003586,2015-02-18,2015-02-18,100000029,694,584,110,N,I,I
500003587,2015-02-18,2015-02-18,100000005,11742,9868,1874,N,I,I
500003588,2015-02-18,2015-02-18,100000016,3092,2599,493,N,I,I
500003589,2015-02-18,2015-02-18,100000034,4247,3570,677,N,I,I
500003590,2015-02-18,2015-02-18,100000042,1486,1249,237,N,I,I
500003591,2015-02-18,2015-02-18,100000021,2676,2249,427,N,I,I
500003592,2015-02-18,2015-02-18,100000030,8613,7238,1375,N,I,I
500003593,2015-02-18,2015-02-18,100000000,243,205,38,N,I,I
500003594,2015-02-18,2015-02-18,100000020,15617,13125,2492,N,I,I
500003595,2015-02-18,2015-02-18,100000032,6291,5288,1003,N,I,I
500003596,2015-02-18,2015-02-18,100000016,52,44,8,N,I,I
500003597,2015-02-18,2015-02-18,100000015,14264,11988,2276,N,I,I
500003598,2015-02-18,2015-02-18,100000040,7065,5938,1127,N,I,I
500003599,2015-02-19,2015-02-19,100000001,76,65,11,N,I,I
500003600,2015-02-19,2015-02-19,100000019,7776,6535,1241,N,I,I
500003601,2015-02-19,2015-02-19,100000015,2921,2456,465,N,I,I
500003602,2015-02-19,2015-02-19,100000038,11414,9592,1822,N,I,I
500003603,2015-02-19,2015-02-19,100000027,2658,2236,422,N,I,I
500003604,2015-02-19,2015-02-19,100000012,471,396,75,N,I,I
500003605,2015-02-19,2015-02-19,100000031,15808,13285,2523,N,I,I
500003606,2015-02-19,2015-02-19,100000002,4754,3995,759,N,I,I
500003607,2015-02-19,2015-02-19,100000006,7514,6315,1199,N,I,I
500003608,2015-02-19,2015-02-19,100000035,20612,17323,3289,N,I,I
500003609,2015-02-19,2015-02-19,100000037,2510,2110,400,N,I,I
500003610,2015-02-19,2015-02-19,100000021,2175,1829,346,N,I,I
500003611,2015-02-19,2015-02-19,100000034,121852,102397,19455,N,I,I
500003612,2015-02-19,2015-02-19,100000039,13475,11326,2149,N,I,I
500003613,2015-02-19,2015-02-19,100000034,1411,1186,225,N,I,I
500003614,2015-02-19,2015-02-19,100000027,9605,8073,1532,N,I,I
500003615,2015-02-20,2015-02-20,100000014,2136,1796,340,N,I,I
500003616,2015-02-20,2015-02-20,100000013,8774,7374,1400,N,I,I
500003617,2015-02-20,2015-02-20,100000012,10087,8477,1610,N,I,I
500003618,2015-02-20,2015-02-20,100000006,7595,6384,1211,N,I,I
500003619,2015-02-20,2015-02-20,100000018,19419,16321,3098,N,I,I
500003620,2015-02-20,2015-02-20,100000020,9305,7820,1485,N,I,I
500003621,2015-02-20,2015-02-20,100000009,757,637,120,N,I,I
500003622,2015-02-20,2015-02-20,100000003,10844,9114,1730,N,I,I
500003623,2015-02-20,2015-02-20,100000038,999,840,159,N,I,I
500003624,2015-02-20,2015-02-20,100000038,2741,2304,437,N,I,I
500003625,2015-02-20,2015-02-20,100000016,11,10,1,N,I,I
500003626,2015-02-20,2015-02-20,100000031,10087,8477,1610,N,I,I
500003627,2015-02-20,2015-02-20,100000008,12720,10690,2030,N,I,I
500003628,2015-02-20,2015-02-20,100000012,752,632,120,N,I,I
500003629,2015-02-20,2015-02-20,100000022,1781,1497,284,N,I,I
500003630,2015-02-20,2015-02-20,100000000,10428,8764,1664,N,I,I
500003631,2015-02-20,2015-02-20,100000000,8139,6841,1298,N,I,I
500003632,2015-02-20,2015-02-20,100000032,1604,1349,255,N,I,I
500003633,2015-02-20,2015-02-20,100000024,8922,7499,1423,N,I,I
500003634,2015-02-20,2015-02-20,100000026,12968,10899,2069,N,I,I
500003635,2015-02-20,2015-02-20,100000007,641,539,102,N,I,I
500003636,2015-02-20,2015-02-20,100000001,404,340,64,N,I,I
500003637,2015-02-20,2015-02-20,100000022,1871,1574,297,N,I,I
500003638,2015-02-20,2015-02-20,100000040,17664,14845,2819,N,I,I
500003639,2015-02-20,2015-02-20,100000025,523,440,83,N,I,I
500003640,2015-02-20,2015-02-20,100000007,1833,1541,292,N,I,I
500003641,2015-02-20,2015-02-20,100000026,4854,4080,774,N,I,I
500003642,2015-02-20,2015-02-20,100000007,114,96,18,N,I,I
500003643,2015-02-20,2015-02-20,100000007,2969,2495,474,N,I,I
500003644,2015-02-20,2015-02-20,100000014,12153,10213,1940,N,I,I
500003645,2015-02-21,2015-02-21,100000004,18591,15624,2967,N,I,I
500003646,2015-02-21,2015-02-21,100000016,36046,30292,5754,N,I,I
500003647,2015-02-21,2015-02-21,100000016,3965,3333,632,N,I,I
500003648,2015-02-21,2015-02-21,100000031,5812,4885,927,N,I,I
500003649,2015-02-21,2015-02-21,100000024,445,375,70,N,I,I
500003650,2015-02-21,2015-02-21,100000004,1856,1560,296,N,I,I
500003651,2015-02-21,2015-02-21,100000031,364,306,58,N,I,I
500003652,2015-02-21,2015-02-21,100000025,171,144,27,N,I,I
500003653,2015-02-21,2015-02-21,100000025,9913,8331,1582,N,I,I
500003654,2015-02-21,2015-02-21,100000028,6305,5299,1006,N,I,I
500003655,2015-02-21,2015-02-21,100000015,1426,1199,227,N,I,I
500003656,2015-02-21,2015-02-21,100000036,3420,2875,545,N,I,I
500003657,2015-02-21,2015-02-21,100000019,32522,27330,5192,N,I,I
500003658,2015-02-21,2015-02-21,100000017,3454,2905,549,N,I,I
500003659,2015-02-21,2015-02-21,100000027,14768,12411,2357,N,I,I
500003660,2015-02-21,2015-02-21,100000033,25629,21539,4090,N,I,I
500003661,2015-02-21,2015-02-21,100000011,855,719,136,N,I,I
500003662,2015-02-21,2015-02-21,100000015,13680,11496,2184,N,I,I
500003663,2015-02-21,2015-02-21,100000018,15483,13012,2471,N,I,I
500003664,2015-02-21,2015-02-21,100000014,12295,10333,1962,N,I,I
500003665,2015-02-21,2015-02-21,100000028,855,719,136,N,I,I
500003666,2015-02-21,2015-02-21,100000033,1398,1176,222,N,I,I
500003667,2015-02-21,2015-02-21,100000029,17209,14462,2747,N,I,I
500003668,2015-02-21,2015-02-21,100000018,13002,10927,2075,N,I,I
500003669,2015-02-21,2015-02-21,100000028,7303,6138,1165,N,I,I
500003670,2015-02-21,2015-02-21,100000032,2141,1801,340,N,I,I
500003671,2015-02-21,2015-02-21,100000006,10098,8486,1612,N,I,I
500003672,2015-02-21,2015-02-21,100000016,394,332,62,N,I,I
500003673,2015-02-21,2015-02-21,100000001,25260,21228,4032,N,I,I
500003674,2015-02-21,2015-02-21,100000023,16,14,2,N,I,I
500003675,2015-02-21,2015-02-21,100000029,9857,8285,1572,N,I,I
500003676,2015-02-21,2015-02-21,100000035,6175,5190,985,N,I,I
500003677,2015-02-21,2015-02-21,100000002,2374,1995,379,N,I,I
500003678,2015-02-22,2015-02-22,100000013,2979,2505,474,N,I,I
500003679,2015-02-22,2015-02-22,100000028,7291,6129,1162,N,I,I
500003680,2015-02-22,2015-02-22,100000029,9643,8104,1539,N,I,I
500003681,2015-02-22,2015-02-22,100000018,435,367,68,N,I,I
500003682,2015-02-22,2015-02-22,100000043,14888,12512,2376,N,I,I
500003683,2015-02-23,2015-02-23,100000033,15466,12998,2468,N,I,I
500003684,2015-02-23,2015-02-23,100000015,9654,8114,1540,N,I,I
500003685,2015-02-23,2015-02-23,100000042,1082,910,172,N,I,I
500003686,2015-02-24,2015-02-24,100000025,6612,5557,1055,N,I,I
500003687,2015-02-24,2015-02-24,100000034,5890,4950,940,N,I,I
500003688,2015-02-24,2015-02-24,100000022,214,180,34,N,I,I
500003689,2015-02-25,2015-02-25,100000016,3546,2980,566,N,I,I
500003690,2015-02-25,2015-02-25,100000032,10153,8533,1620,N,I,I
500003691,2015-02-25,2015-02-25,100000022,149,126,23,N,I,I
500003692,2015-02-25,2015-02-25,100000015,840,708,132,N,I,I
500003693,2015-02-25,2015-02-25,100000039,16814,14130,2684,N,I,I
500003694,2015-02-25,2015-02-25,100000039,9285,7805,1480,N,I,I
500003695,2015-02-25,2015-02-25,100000022,21024,17669,3355,N,I,I
500003696,2015-02-25,2015-02-25,100000020,9827,8260,1567,N,I,I
500003697,2015-02-25,2015-02-25,100000019,5246,4409,837,N,I,I
